"Südd. Zeitung" "Le Figaro" "The Independent" "Dunya" "African Manager" "Full Corpus"
"0" 335893 607436 498466 117341 258160 1817296
"1" 8972 15209 14724 2833 9647 51385
"2+" 175 216 214 91 344 1040
"Total" 345040 622861 513404 120265 268151 1869721
"Salience (%)" 2.7 2.5 2.9 2.4 3.7 2.8
