"Südd. Zeitung" "Le Figaro" "The Independent" "Dunya" "African Manager" "Full Corpus"
"0" 296711 482772 406852 102772 227463 1516570
"1" 43358 120729 87755 11552 32806 296200
"2+" 4971 19360 18797 5941 7882 56951
"Total" 345040 622861 513404 120265 268151 1869721
"Salience (%)" 14 22.5 20.8 14.5 15.2 18.9
