"1+ regions " "No regions" "Sum"
"1+ states" 1.08652574368047 25.8647680589778 26.9512938026583
"No states" 1.71736852717598 71.3313376701658 73.0487061973417
"Sum" 2.80389427085645 97.1961057291436 100
